participant_id,age,gender,specialization,experiment_started_at,started_at,submitted_at,displayed_at_client_ms,submitted_at_client_ms,task_order_position,task_id,question_id,task_family,gestalt_principle,visualization_type,question_type,question_text,options_shown,correct_answer,selected_answer,is_correct,reaction_time_sec,chart_count,ease_rating,confidence,parent_task_id,panel_id,panel_label,panel_order,panel_selected_answer,panel_is_correct,panel_reaction_time_sec,panel_submitted_at,panel_displayed_at_client_ms,session_id
1,18,Male,informational system,2026-03-15 14:20:49.533,2026-03-15 14:20:49.838,2026-03-15 14:20:53.177,1773566449838,1773566453177,1,SYM_02,Q_SYM_02,NA,Symmetry,Heatmap,J. Subjective organization and trend perception,Is the color matrix symmetric around the main diagonal?,Yes | No | Only around the center | Cannot tell,Yes,Yes,TRUE,3.339,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5299ba62ac65082a315892bac3175c58_20260315142049.533
1,18,Male,informational system,2026-03-15 14:20:49.533,2026-03-15 14:20:53.746,2026-03-15 14:20:56.312,1773566453747,1773566456313,2,CLO_04,Q_CLO_04,NA,Closure,Bar chart,I. Group perception based on closure,Which pair of categories is easiest to perceive as one unit?,A and B | B and C | C and D | D and E,A and B,C and D,FALSE,2.567,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5299ba62ac65082a315892bac3175c58_20260315142049.533
1,18,Male,informational system,2026-03-15 14:20:49.533,2026-03-15 14:20:56.782,2026-03-15 14:20:58.345,1773566456782,1773566458346,3,CLO_05,Q_CLO_05,NA,Closure,Bubble chart,I. Group perception based on closure,How many complete structures do you perceive despite the gaps?,1 | 2 | 3 | None,2,2,TRUE,1.564,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5299ba62ac65082a315892bac3175c58_20260315142049.533
1,18,Male,informational system,2026-03-15 14:20:49.533,2026-03-15 14:20:58.75,2026-03-15 14:21:00.256,1773566458751,1773566460257,4,CONT_01,Q_CONT_01,NA,Continuity,Line chart,J. Subjective organization and trend perception,Which sequence is perceived as one continuous trend?,Blue sequence | Orange sequence | Both sequences | Neither sequence,Blue sequence,Neither sequence,FALSE,1.506,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5299ba62ac65082a315892bac3175c58_20260315142049.533
1,18,Male,informational system,2026-03-15 14:20:49.533,2026-03-15 14:21:00.598,2026-03-15 14:21:01.809,1773566460599,1773566461809,5,SIM_02,Q_SIM_02,NA,Similarity,Bubble chart,I. Group perception based on similarity,How many groups do you perceive based on similarity?,2 | 3 | 4 | 5,3,4,FALSE,1.21,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5299ba62ac65082a315892bac3175c58_20260315142049.533
1,18,Male,informational system,2026-03-15 14:20:49.533,2026-03-15 14:21:02.198,2026-03-15 14:21:04.424,1773566462199,1773566464425,6,PROX_04,Q_PROX_04,NA,Proximity,Bar chart,I. Group perception based on proximity,Which categories appear to belong together because of spacing?,A and B | B and C | C and D | D and E,C and D,C and D,TRUE,2.226,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5299ba62ac65082a315892bac3175c58_20260315142049.533
1,18,Male,informational system,2026-03-15 14:20:49.533,2026-03-15 14:21:04.799,2026-03-15 14:21:06.417,1773566464799,1773566466418,7,PROX_05,Q_PROX_05,NA,Proximity,Bubble chart,B. Finding the minimum value,Which labeled bubble is the smallest within the left-hand cluster?,A | B | C | D,C,B,FALSE,1.619,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5299ba62ac65082a315892bac3175c58_20260315142049.533
1,18,Male,informational system,2026-03-15 14:20:49.533,2026-03-15 14:21:06.825,2026-03-15 14:21:08.178,1773566466825,1773566468179,8,CONT_05,Q_CONT_05,NA,Continuity,Line chart,E. Ranking,Which ranking correctly orders the last three points of the continuous trend from highest to lowest?,6 > 5 > 4 | 4 > 5 > 6 | 5 > 6 > 4 | 6 > 4 > 5,6 > 5 > 4,5 > 6 > 4,FALSE,1.353,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5299ba62ac65082a315892bac3175c58_20260315142049.533
1,18,Male,informational system,2026-03-15 14:20:49.533,2026-03-15 14:21:08.671,2026-03-15 14:21:09.936,1773566468672,1773566469936,9,SYM_01,Q_SYM_01,NA,Symmetry,Scatterplot,J. Subjective organization and trend perception,Which pattern looks more stable and symmetric?,Pattern A | Pattern B | Both patterns | Neither pattern,Pattern A,Both patterns,FALSE,1.265,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5299ba62ac65082a315892bac3175c58_20260315142049.533
1,18,Male,informational system,2026-03-15 14:20:49.533,2026-03-15 14:21:10.319,2026-03-15 14:21:11.473,1773566470320,1773566471474,10,SYM_05,Q_SYM_05,NA,Symmetry,Line chart,C. Comparing two categories,Which side reaches a higher maximum value?,Left side | Right side | Same on both sides | Neither side reaches a peak,Same on both sides,Right side,FALSE,1.154,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5299ba62ac65082a315892bac3175c58_20260315142049.533
1,18,Male,informational system,2026-03-15 14:20:49.533,2026-03-15 14:21:11.895,2026-03-15 14:21:13.009,1773566471896,1773566473009,11,SYM_04,Q_SYM_04,NA,Symmetry,Bubble chart,D. Estimating the difference,Approximately how much larger is the center bubble than the bubbles at x = -1 and x = 1?,4 | 6 | 8 | 10,8,6,FALSE,1.112,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5299ba62ac65082a315892bac3175c58_20260315142049.533
1,18,Male,informational system,2026-03-15 14:20:49.533,2026-03-15 14:21:13.423,2026-03-15 14:21:15.848,1773566473423,1773566475849,12,PROX_03,Q_PROX_03,NA,Proximity,Heatmap,G. Determining a range,In which range do most values in the central cluster fall?,10-20 | 20-30 | 30-40 | 40-50,40-50,10-20,FALSE,2.426,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5299ba62ac65082a315892bac3175c58_20260315142049.533
1,18,Male,informational system,2026-03-15 14:20:49.533,2026-03-15 14:21:16.21,2026-03-15 14:21:17.233,1773566476211,1773566477233,13,SIM_01,Q_SIM_01,NA,Similarity,Scatterplot,J. Subjective organization and trend perception,What is the dominant cue for grouping these points?,Color | Position | Size | No clear cue,Color,Size,FALSE,1.022,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5299ba62ac65082a315892bac3175c58_20260315142049.533
1,18,Male,informational system,2026-03-15 14:20:49.533,2026-03-15 14:21:17.78,2026-03-15 14:21:18.65,1773566477781,1773566478650,14,PROX_02,Q_PROX_02,NA,Proximity,Bubble chart,F. Detecting anomaly or outlier,Which cluster is most clearly separated from the others?,Upper-right cluster | Center cluster | Lower-left cluster | Lower-right cluster,Upper-right cluster,Center cluster,FALSE,0.869,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5299ba62ac65082a315892bac3175c58_20260315142049.533
